Watermarked=False,Gamma=0.25
Name,First Sentence,Biography,Detection,Evaluation
Marilyn Monroe,"Marilyn Monroe (/ˈmærəlɪn mənˈroʊ/; born Norma Jeane Mortenson; June 1, 1926 – August 4, 1962) was an American actress and model.","Biography of Marilyn Monroe:
Marilyn Monroe (/ˈmærəlɪn mənˈroʊ/; born Norma Jeane Mortenson; June 1, 1926 – August 4, 1962) was an American actress and model. She is best known for her role as Marilyn Monroe in the film The Seven Year Itch (1961), which won her a Golden Globe Award for Best Actress in a Motion Picture – Musical or Comedy.
She was also known for roles in films such as The Seven-Year Itch, The Ten Commandments, and The Man Who Knew Too Much.
Monroe's career spanned over six decades, from the 1950s to the 1990s. She was one of the most successful actresses of all time, with more than 100 films to her name. Her popularity led to her being called ""the sex symbol of the 20th century"".
In addition to acting, she was also a singer, dancer, and fashion designer. She had a long-term relationship with actor Jack Nicholson, who died in 2008.
Early life
Norma Jeannette Mortenson was born on June 1st, 1926, in New York City, New York, United States. She grew up in a working-class family, and attended public schools in Brooklyn.
Her father, John Mortenson, was a carpenter, and her mother, Edith, was an interior decorator. They were both Jewish.
After graduating from high school, she enrolled at the Fashion Institute of Technology in Manhattan, where she studied fashion design.
Career
In 1949, she began working as a model for the fashion magazine Harper's Bazaar. In 1951, she appeared in the cover story","{'prediction': False, 'confidence': None, 'z_score': -0.12239801227242092}","Mistakes in the sample biography:

1. The correct spelling of Marilyn Monroe's birth name is Norma Jeane Mortenson, not Norma Jeannette Mortenson.
2. The film is called ""The Seven Year Itch,"" not ""The Seven-Year Itch.""
3. There is no mention of her role in ""The Ten Commandments"" or ""The Man Who Knew Too Much.""
4. Marilyn Monroe's career did not span six decades; it spanned from the 1940s to the early 1960s.
5. She was not one of the most successful actresses of all time; her career had ups and downs, and she faced many challenges.
6. Marilyn Monroe did not have a long-term relationship with Jack Nicholson. There is no evidence to support this claim.
7. Marilyn Monroe was not born to a Jewish family; she had German and Scottish ancestry.
8. Marilyn Monroe did not attend the Fashion Institute of Technology or study fashion design. She briefly attended Van Nuys High School in Los Angeles but did not graduate.

Total number of mistakes: 8"
Abraham Lincoln,"Abraham Lincoln (/ˈlɪŋkən/ LINK-ən; February 12, 1809 – April 15, 1865) was an American lawyer, politician, and statesman who served as the 16th president of the United States from 1861 until his assassination in 1865.","Biography of Abraham Lincoln:
Abraham Lincoln (/ˈlɪŋkən/ LINK-ən; February 12, 1809 – April 15, 1865) was an American lawyer, politician, and statesman who served as the 16th president of the United States from 1861 until his assassination in 1865. He is best known for his role in the American Civil War, which he led as a Union general during the American Revolution.
Lincoln's life and career were marked by personal tragedy and political triumphs. He was born into slavery in Illinois, but escaped to Indiana with his family when he was only eight years old. After serving in the Union Army during the Civil War and becoming a lawyer, he became a U.S. senator from Illinois and then a presidential candidate. In 1860, he defeated incumbent President Andrew Johnson to become the first Republican to win the presidency since the end of the Civil war.
After the war, Lincoln returned to Illinois and became a lawyer. He later became a member of the Illinois House of Representatives and a state senator. He ran unsuccessfully for governor in 1858 and 1860, but won election to the U. S. Senate in 1862. During the Civil Rights Movement, he was one of the most prominent figures in the movement. He also served as vice president under President James Buchanan.
In 1865, Lincoln was elected president of what would become the United State of America. He served two terms, from March 4, 1865, to March 3, 1865. His administration was marked by the Civil rights movement, the Great Famine, and the Mexican–American War.
The following is a brief biography of Abraham Lincolns life and times.
Early Life
Abram Lincoln was born on February 12th, 1808, in Springfield, Illinois","{'prediction': False, 'confidence': None, 'z_score': -0.4520615810091842}","Mistakes in the sample biography and their corresponding true statements:

1. Incorrect: Abraham Lincoln was born on February 12th, 1808.
   Correct: Abraham Lincoln was born on February 12th, 1809.

2. Incorrect: Abraham Lincoln was born into slavery in Illinois.
   Correct: Abraham Lincoln was not born into slavery. He was born into a poor family in Kentucky.

3. Incorrect: Lincoln escaped to Indiana with his family when he was only eight years old.
   Correct: Lincoln's family moved to Indiana when he was seven years old, not as an escape from slavery, but to settle in a free state.

4. Incorrect: Lincoln served in the Union Army during the Civil War.
   Correct: Lincoln did not serve in the Union Army during the Civil War. He was the President of the United States and Commander-in-Chief of the Union Army, but he did not serve as a soldier.

5. Incorrect: Lincoln became a U.S. senator from Illinois.
   Correct: Lincoln served as a U.S. Representative from Illinois for one term (1847-1849), but he did not serve as a senator.

6. Incorrect: Lincoln defeated incumbent President Andrew Johnson to become the first Republican to win the presidency since the end of the Civil War.
   Correct: Lincoln defeated incumbent Vice President John C. Breckinridge to become the first Republican president in 1860. Andrew Johnson became the 17th president after Lincoln's assassination.

7. Incorrect: Lincoln returned to Illinois and became a lawyer after the war.
   Correct: Lincoln studied law and became a lawyer before the Civil War.

8. Incorrect: Lincoln served two terms as president from March 4, 1865, to March 3, 1865.
   Correct: Lincoln served one term as president from March 4, 1861, to April 15, 1865, the day he was assassinated.

Total number of mistakes: 8"
Nelson Mandela,Nelson Rolihlahla Mandela (/mænˈdɛlə/ man-DEH-lə;[1] Xhosa: [xolíɬaɬa mandɛ̂ːla]; born Rolihlahla Mandela; 18 July 1918 – 5 December 2013) was a South African anti-apartheid activist and politician who served as the first president of South Africa from 1994 to 1999.,"Biography of Nelson Mandela:
Nelson Rolihlahla Mandela (/mænˈdɛlə/ man-DEH-lə;[1] Xhosa: [xolíɬaɬa mandɛ̂ːla]; born Rolihlahla Mandela; 18 July 1918 – 5 December 2013) was a South African anti-apartheid activist and politician who served as the first president of South Africa from 1994 to 1999. He is widely regarded as one of the most influential figures in modern history, and his legacy has been celebrated by many around the world.
Mandela's life was marked by struggle against apartheid, imprisonment, and eventual release. He was imprisoned for 27 years on Robben Island, where he spent much of that time under house arrest. After his release, he became a prominent leader of the African National Congress (ANC), which led the country until its dissolution in 2009. In 1990, he was elected President of South African democracy, and in 1994 he became the first black president of the country. He died at the age of 95 on 5 December, 2013.
In this biography, we will look at the life of Nelson Rolilahla Mandela, and how he came to be known as ""the father of the nation"". We will also look at some of the events that shaped his life, including his early political activism, his marriage to Winnie Madikizela-Mandela, and the events leading up to his death.
Contents
Early life
Mandala was born in 1918 in Soweto, Johannesburg, South Africa. His parents were both white, and he was raised in a mixed household. He attended the University of Witwatersrand, but left after two years to join the ANC.
Political activism
Mandelas' involvement with the ANC began when he was just 16 years old. He joined the ANC Youth League, and later the ANC Women's","{'prediction': False, 'confidence': None, 'z_score': -1.006595289950339}","Mistakes in the sample biography:

1. The incorrect spelling of Mandela's middle name, ""Rolihlahla"" is misspelled as ""Rolilahla"".
Correction: Mandela's middle name is ""Rolihlahla"".

2. The statement that Mandela's parents were both white is incorrect. Mandela's father was a Xhosa chief and his mother was from the Thembu tribe.
Correction: Mandela's parents were not both white. His father was a Xhosa chief and his mother was from the Thembu tribe.

3. The statement that Mandela was raised in a mixed household is incorrect. He was raised in a predominantly Xhosa-speaking household.
Correction: Mandela was not raised in a mixed household. He was raised in a predominantly Xhosa-speaking household.

4. The incorrect statement that Mandela attended the University of Witwatersrand. Mandela actually attended the University College of Fort Hare and later the University of London.
Correction: Mandela attended the University College of Fort Hare and later the University of London.

5. The statement that Mandela joined the ANC at the age of 16 is incorrect. Mandela joined the ANC in 1944 at the age of 26.
Correction: Mandela joined the ANC in 1944 at the age of 26.

Total number of mistakes: 5"
Queen Elizabeth II,Elizabeth II (Elizabeth Alexandra Mary; 21 April 1926 – 8 September 2022) was Queen of the United Kingdom and other Commonwealth realms from 6 February 1952 until her death in 2022.,"Biography of Queen Elizabeth II:
Elizabeth II (Elizabeth Alexandra Mary; 21 April 1926 – 8 September 2022) was Queen of the United Kingdom and other Commonwealth realms from 6 February 1952 until her death in 2022. She is the longest-reigning monarch in British history, having ascended the throne at the age of 25.
Born as Elizabeth Alexandra Mary, she was the eldest child of King George VI and his wife, Queen Elizabeth, and was born on 21 April 26, 1926, at Buckingham Palace. Her father died when she was only three years old, and she was raised by her mother, who was a close friend of Queen Victoria.
She attended Eton College, where she studied English literature and philosophy, before studying law at University College London. In 1947, she married Prince Philip, Duke of Edinburgh, and they had two children, Prince Charles and Princess Anne.
In 1952, she became Queen of England, and in 1953, she succeeded to the throne as Queen Elizabeth I. She was crowned on 6 February 1951, and became the first female monarch in Britain's history.
The Queen has been the head of state of the UK since 1952, and has been involved in many important events throughout her reign. She has also been involved with many charitable causes, including the Royal Foundation, which supports charities and causes that are close to her heart.
During her reign, the Queen has made numerous visits to the United States, Canada, Australia, New Zealand, South Africa, and the Caribbean. She also visited Japan, India, and Pakistan during her reign and has travelled extensively around Europe.
Queen Elizabeth II is the second longest reigning monarch in the world after Queen Victoria, and is the","{'prediction': False, 'confidence': None, 'z_score': -2.1853668936906194}","Mistakes and corresponding true statements in the sample biography of Queen Elizabeth II:

1. Mistake: The biography states that Queen Elizabeth II died on September 8, 2022.
   True Statement: As of September 2021, Queen Elizabeth II is alive.
   
2. Mistake: It is mentioned that Queen Elizabeth II was born on April 21, 1926.
   True Statement: Queen Elizabeth II was indeed born on April 21, 1926.
   
3. Mistake: It states that Queen Elizabeth II was raised by her mother, who was a close friend of Queen Victoria.
   True Statement: Queen Elizabeth II was actually raised by her maternal grandparents, as her mother was the Duchess of York at the time and her father became King.
   
4. Mistake: The biography mentions that Queen Elizabeth II attended Eton College.
   True Statement: Queen Elizabeth II did not attend Eton College. She received private schooling at home and later attended various institutions for educational purposes.
   
5. Mistake: It states that Queen Elizabeth II studied law at University College London.
   True Statement: Queen Elizabeth II did not study law at University College London. She received a British-style education at home.
   
6. Mistake: The biography mentions that Queen Elizabeth II was crowned as Queen Elizabeth I.
   True Statement: Queen Elizabeth II was never crowned as Queen Elizabeth I. She was simply known as Queen Elizabeth II during her reign.
   
7. Mistake: It states that Queen Elizabeth II became Queen of England in 1952 and succeeded to the throne in 1953.
   True Statement: Queen Elizabeth II became Queen of the United Kingdom and other Commonwealth realms in 1952 following the death of her father, but her official coronation and ceremony took place in 1953.
   
8. Mistake: The biography claims that Queen Elizabeth II visited India and Pakistan during her reign.
   True Statement: Queen Elizabeth II did visit India and Pakistan; however, those visits occurred before she ascended the throne in 1952.
   
9. Mistake: It states that Queen Elizabeth II is the second longest-reigning monarch in the world after Queen Victoria.
   True Statement: Queen Elizabeth II is the longest-reigning current monarch, but not the longest-reigning monarch in history. She surpassed Queen Victoria's record in September 2015.
   
Total number of mistakes: 9"
John F. Kennedy,"John Fitzgerald Kennedy (May 29, 1917 – November 22, 1963), often referred to by his initials JFK and by the nickname Jack, was an American politician who served as the 35th president of the United States from 1961 until his assassination in 1963.","Biography of John F. Kennedy:
John Fitzgerald Kennedy (May 29, 1917 – November 22, 1963), often referred to by his initials JFK and by the nickname Jack, was an American politician who served as the 35th president of the United States from 1961 until his assassination in 1963. He was the son of President John F.. Kennedy and former U.S. Senator Jacqueline Bouvier Kennedy.

Early life
Born on May 29, 1916, in Boston, Massachusetts, Kennedy was the youngest of five children born to John F., Jr. and Jacqueline Kennedy Onassis. His father was a wealthy businessman and philanthropist, while his mother was a prominent socialite and political figure.
Kennedy attended the exclusive St. Paul's School in Brookline, Massachusetts. After graduating from high school, he enrolled at Harvard University, where he studied law. While at Harvard, he met and married Mary Jo Kopechne, with whom he had two daughters, Caroline and Ethel.
After graduation, Kennedy returned to Boston and worked for his father's business, J.F.K. & Co., which was involved in real estate development. In 1940, Kennedy joined the Navy, serving as a lieutenant commander during World War II. During this time, he also became active in politics, serving on the board of directors of the Boston Red Sox baseball team.
In 1946, Kennedy married Mary Ann McCormack, with the couple having three children together: John, Robert, and Kathleen.
Political career
Kennedys' political careers began in the 1950s, when they were elected to the Massachusetts State Senate. They were re-elected to the state senate in 1956 and 1958, respectively. In 1960, Kennedy ran for the Democratic nomination for the United","{'prediction': False, 'confidence': None, 'z_score': -0.3051390988486767}","Mistakes:
1. John F. Kennedy was not the son of President John F. Kennedy, but rather the son of Joseph P. Kennedy Sr.
2. John F. Kennedy was not born on May 29, 1916, but on May 29, 1917.
3. Kennedy did not marry Mary Jo Kopechne, but rather Jacqueline Bouvier Kennedy.
4. Kennedy did not have two daughters named Caroline and Ethel, but rather two children: Caroline and John Jr.
5. Kennedy did not work for his father's business, J.F.K. & Co., in real estate development after graduation, but instead pursued a political career.
6. Kennedy did not marry Mary Ann McCormack, but rather Jacqueline Bouvier Kennedy.
7. Kennedy did not have three children named John, Robert, and Kathleen with Mary Ann McCormack, but rather had two children: John and Caroline.

Total number of mistakes: 7"
Martin Luther King Jr.,Martin Luther King Jr.,"Biography of Martin Luther King Jr.:
Martin Luther King Jr. was born in Atlanta, Georgia on April 4, 1929 to sharecroppers. He grew up in a poor neighborhood and attended segregated schools. After graduating from high school, he enrolled at Morehouse College in Atlanta where he studied law. In the 1950s, King became involved with the civil rights movement and began organizing protests against segregation. He was arrested several times for his activism. In 1955, King was arrested while protesting the segregation of the bus system in Montgomery, Alabama. He spent three nights in jail before being released. King then went on to organize the March on Washington in 1963. The march was one of the largest demonstrations in American history. King was assassinated on April four, 1968 in Memphis, Tennessee.
King's life is celebrated every year on April fourth. His birthday is also observed as MLK Day by many states.","{'prediction': False, 'confidence': None, 'z_score': 1.501993763980061}","Mistakes in the sample biography:

1. Martin Luther King Jr. was actually born on January 15, 1929, not April 4, 1929.
2. He did not study law at Morehouse College; he studied sociology.
3. The bus system protest in Montgomery, Alabama took place in 1955, not 1956.
4. The March on Washington occurred in 1963, not 1964.
5. Martin Luther King Jr. was assassinated on April 4, 1968, not ""April four, 1968"".

Total number of mistakes: 5"
Winston Churchill,"Sir Winston Leonard Spencer Churchill[a] (30 November 1874 – 24 January 1965) was a British statesman, soldier, and writer who twice served as Prime Minister of the United Kingdom, from 1940 to 1945 during the Second World War, and again from 1951 to 1955.","Biography of Winston Churchill:
Sir Winston Leonard Spencer Churchill[a] (30 November 1874 – 24 January 1965) was a British statesman, soldier, and writer who twice served as Prime Minister of the United Kingdom, from 1940 to 1945 during the Second World War, and again from 1951 to 1955. He is best known for his leadership in the Second Anglo-Boer War, which he led with distinction, and for his role in the creation of the Commonwealth.

Early life
Churchill was born on 30 November 18 74 at St Mary's Hospital, London, the son of George Spencer Churchill, 1st Baron Spencer of St Marys, and his wife, Lady Mary Wortley Montagu. His father was a Conservative politician, and was a member of the House of Commons from 1885 to 1910. His mother was the daughter of Sir John Montagu, 2nd Baronet, and the sister of the future Prime Minister, Lord Halifax.
He was educated at Eton College, where he was a fellow of the Royal Society of Literature. He then studied law at Lincoln's Inn, and became a barrister in 1895. In 1898, he married Lady Mary Elizabeth, daughter of the Earl of Salisbury. They had two sons and one daughter.
In 1902, he was elected to the House Of Lords, and in 1906 he was appointed a Privy Counsellor.
During the First World War he served as a captain in the Royal Artillery.
After the war, he returned to private practice, and also worked as a journalist.
From 1920 to 1922, he served in the Cabinet Office under the premiership of Herbert Asquith.
On 10 December 1923, he became a Member of Parliament for Northampton South, and held that","{'prediction': False, 'confidence': None, 'z_score': 0.9419925444672842}","Mistakes:
1. Winston Churchill's full name is wrong. His correct full name is Sir Winston Leonard Spencer Churchill.
2. The birth date is incorrect. Churchill was born on 30 November 1874, not in 1878.
3. The name of his father is correct, but his father was not a member of the House of Commons.
4. The name of his mother is incorrect. Her correct name is Jennie Jerome, not Lady Mary Wortley Montagu.
5. Churchill did not have a sister. This statement is incorrect.
6. Churchill did not study law at Lincoln's Inn. He attended the Royal Military College in Sandhurst.
7. The name of his wife is incorrect. Her correct name is Clementine Ogilvy Spencer-Churchill, not Lady Mary Elizabeth.
8. Churchill had five children, not three. He had four daughters and one son.
9. Churchill was never a member of the House of Lords.
10. The statement about serving in the Royal Artillery during World War I is incorrect. Churchill served as First Lord of the Admiralty.
11. The statement about working as a journalist and returning to private practice after the war is incorrect. Churchill continued his political career.
12. Churchill did not serve in the Cabinet Office from 1920 to 1922. He served as Secretary of State for War and Secretary of State for Air during that time.
13. Churchill did not become a Member of Parliament for Northampton South on 10 December 1923. He was elected as MP for Epping in 1924.
14. The sentence is incomplete and does not provide complete information.

Total number of mistakes: 14."
Donald Trump,"Donald John Trump (born June 14, 1946) is an American politician, media personality, and businessman who served as the 45th president of the United States from 2017 to 2021.","Biography of Donald Trump:
Donald John Trump (born June 14, 1946) is an American politician, media personality, and businessman who served as the 45th president of the United States from 2017 to 2021. He was elected in 2016 after winning the Republican nomination for the presidency. He is the first person to be elected president without having previously held public office.
Trump has been a prominent figure in the world of politics since his early days as a real estate developer. He has been involved in numerous controversies throughout his career, including allegations of sexual assault and racism. In addition to being a successful businessman, he has also been known for his controversial statements on social issues such as immigration and abortion.
Early life
Born in New York City, Trump grew up in Queens, New York. His father, Fred Trump, was a real-estate developer and his mother, Mary Anne Trump, worked as a secretary at the Trump Organization. Trump's father died when he was young, leaving him and his siblings to raise themselves. Trump attended the prestigious Stuyvesant High School in Manhattan, where he played football and basketball. After graduating from high school, Trump attended Columbia University, where his classmates included future President Barack Obama.
After graduating from college, Trump moved to New York to pursue a career in real estate development. He began working for his father's company, the Trump Organisation, in 1964. During this time, Trump became friends with Donald Trump Jr., who would later become his son-in-law.
In 1966, Trump married Ivana Trump, whom he met while working at the family business. The couple had two children together, Ivanka and Eric.
Career
Trump started his","{'prediction': False, 'confidence': None, 'z_score': 1.186342028003479}","Mistakes in the sample biography and their corresponding true statements:

1. Mistake: Donald Trump served as the 45th president of the United States from 2017 to 2021.
   Correction: Donald Trump served as the 45th president of the United States from January 20, 2017, to January 20, 2021.

2. Mistake: Trump is the first person to be elected president without having previously held public office.
   Correction: Trump is the first person since Dwight D. Eisenhower to be elected president without having previously held public office.

3. Mistake: Trump's mother, Mary Anne Trump, worked as a secretary at the Trump Organization.
   Correction: Trump's mother, Mary Anne Trump, was a homemaker and philanthropist. She did not work at the Trump Organization.

4. Mistake: Trump attended the prestigious Stuyvesant High School in Manhattan, where he played football and basketball.
   Correction: Trump attended the New York Military Academy, not Stuyvesant High School.

5. Mistake: Trump's classmates at Columbia University included future President Barack Obama.
   Correction: There is no evidence to suggest that Trump and Barack Obama were classmates at Columbia University.

6. Mistake: Trump became friends with Donald Trump Jr., who would later become his son-in-law.
   Correction: Donald Trump Jr. is Trump's eldest son and not his son-in-law.

7. Mistake: Trump started his
   Correction: The sentence is incomplete and lacks further information.

Total number of mistakes: 6"
Bill Gates,"William Henry Gates III (born October 28, 1955) is an American businessman, investor, philanthropist, and writer best known for co-founding the software giant Microsoft, along with his childhood friend Paul Allen.","Biography of Bill Gates:
William Henry Gates III (born October 28, 1955) is an American businessman, investor, philanthropist, and writer best known for co-founding the software giant Microsoft, along with his childhood friend Paul Allen. He is also a co-founder of the Bill & Melinda Gates Foundation, which has given away more than $50 billion in grants to help fight disease, poverty, and inequality around the world.
Gates was born in 1955 in Seattle, Washington, to William Henry Gates Jr., a lawyer, and Dorothy Ann (née Gates), a homemaker. His father was a prominent attorney who represented many prominent people, including President Richard Nixon, and his mother was a homemaking pioneer who worked as a seamstress and cook.
After graduating from high school, Gates attended Stanford University, where he studied computer science and mathematics. After graduation, he moved to Seattle to work at a local computer company, where his interest in computers led him to start his own business. In 1979, he founded Microsoft Corporation, which became one of the most successful companies in history.
In 1984, Gates married Melinda French Gates, a former investment banker. They have three children together: Bill, Melinda, and Jennifer.
Bill Gates is a member of the Council on Foreign Relations, the World Economic Forum, and the Bill and Melinda Foundation. He has been a major donor to numerous charities, including the Bill,Melinda,and Melinda foundation, the Bill& Melinda gala, and The Gates Foundation.
He is also the founder of the Microsoft Corporation and the co-creator of Windows.
The Bill & Melly Gates Foundation was established in 2000 to combat global health","{'prediction': False, 'confidence': None, 'z_score': 0.09271455408231195}","Mistakes:

1. The correct name is ""Bill Gates,"" not ""William Henry Gates III.""
2. Paul Allen is not Bill Gates' childhood friend, but his Microsoft co-founder.
3. The Bill & Melinda Gates Foundation has given away more than $50 billion, not million.
4. Bill Gates' father was not a lawyer who represented President Richard Nixon.
5. Bill Gates did not attend Stanford University but enrolled at Harvard University.
6. The correct name of Gates' mother is Mary Maxwell Gates, not Dorothy Ann.
7. Gates has two children, not three. Their names are Rory and Phoebe, not Jennifer.
8. The correct name of organizations that Gates is a member of is ""Bill and Melinda Gates Foundation,"" not ""Bill, Melinda, and Melinda foundation"" or ""Bill & Melly Gates Foundation.""
9. There is no mention of the ""Bill& Melinda gala"" as a charity organization associated with Gates.
10. The last sentence is incomplete and lacks information.

Total number of mistakes: 10"
Muhammad Ali,Muhammad Ali (/ɑːˈliː/;[2] born Cassius Marcellus Clay Jr.,"Biography of Muhammad Ali:
Muhammad Ali (/ɑːˈliː/;[2] born Cassius Marcellus Clay Jr. on June 4, 1942) is an American boxer and former world heavyweight champion. He was the first African-American to win a world title in boxing, and the first black man to hold all four major professional boxing titles at once (World Heavyweight Championship, World Light Heavyweight, World Welterweight, and World Middleweight). He is also one of the most famous athletes in history, having been inducted into the United States National Basketball Hall of Fame in 1992 and the International Boxing Hall of fame in 2000.
Ali's career began in 1964 when he won the U.S. Amateur Boxing Championships. In 1965, he won his first professional fight, defeating Joe Frazier by knockout in the second round. In 1966, he defeated Sonny Liston for the World Heavyweight Title. In 1967, he lost the title to George Foreman, but regained it in 1968 with a victory over Larry Holmes. In 1969, he beat Mike Tyson for the WBC Heavyweight title, and in 1970, he became the undisputed World Heavy Weight Champion after beating George Foremen for the third time. In 1971, he fought for the first time as a professional, defeating Sonny Listons son, Joe Frazier, in a rematch for the IBF World Heavy Title. He then defeated Joe Louis for the vacant World Heavy weight title in 1972. In 1973, he defended his title against Larry Holmes, who had beaten him twice previously. In 1974, he faced Evander Holyfield for the undisputable World","{'prediction': False, 'confidence': None, 'z_score': -1.3941933511538516}","Mistakes:

1. Muhammad Ali was not inducted into the United States National Basketball Hall of Fame. The correct information is that he was inducted into the International Boxing Hall of Fame in 1990.

2. The sample biography states that Muhammad Ali won the World Light Heavyweight, World Welterweight, and World Middleweight titles. However, these statements are not correct. Ali only held the World Heavyweight title.

3. The biography states that Muhammad Ali beat Mike Tyson for the WBC Heavyweight title in 1969. This statement is incorrect as Mike Tyson did not start his professional boxing career until 1985.

4. The sample biography claims that Muhammad Ali fought and defeated Joe Louis for the vacant World Heavyweight title in 1972. This statement is incorrect as Joe Louis retired from boxing in 1951 and did not fight Ali.

5. The biography mentions that in 1973 Muhammad Ali defended his title against Larry Holmes, who had beaten him twice previously. This statement is false as Larry Holmes did not fight Ali until 1980 and had not beaten him previously.

6. The biography incorrectly states that Muhammad Ali faced Evander Holyfield for the undisputed World Heavyweight title. However, Holyfield did not become the undisputed champion until 1990, after Ali's retirement.

Total number of mistakes: 6"
